territoriality;year;pm10_concentration;pm10_tempcov;pm25_concentration;pm25_tempcov;no2_concentration;no2_tempcov;type_of_stations;number_of_stations;population;latitude;longitude;who_ms;Air_quality_category
"Eur#ROU;Romania#Targu Mures";2010;21,645;85,0;10,343;80,0;25,588;92,0;Somewhere;1,0;125701,0;46,537201;24,5466354999999;1,0;Safety
"Eur#POL;Poland#Tarnow";2010;44,909;81,0;32,293;83,0;22,909;94,0;Somewhere;1,0;116238,0;50,0202779999999;21,004722;1,0;Safety
"Amr#USA;USA#Elko NV";2010;25,9;89,5;32,293;83,0;22,909;94,0;Somewhere;1,0;20564,0;40,8383499999999;-115,766029;1,0;Safety
"Eur#POL;Poland#Tarnowskie Gory";2010;42,535;94,0;32,293;83,0;16,239;95,0;Somewhere;1,0;60847,0;50,4440159999999;18,8279089999999;1,0;Safety
"Eur#ESP;Spain#Tarragona";2010;42,535;94,0;11,8;83,0;26,033;95,0;Somewhere;1,0;133223,0;41,12541675;1,21993049999999;1,0;Safety
"Eur#GRC;Greece#Elefsina";2010;42,535;94,0;11,8;83,0;36,714;100,0;Somewhere;1,0;13366,0;38,0513499999999;23,538446;1,0;Safety
"Eur#ESP;Spain#Elda";2010;14,467;93,0;10,259;83,0;13,222;97,0;Somewhere;1,0;55575,0;38,4547219999999;-0,803332999999999;1,0;Safety
"Eur#ESP;Spain#Elciego";2010;16,687;98,0;10,259;83,0;9,682;99,0;Somewhere;1,0;1054,0;42,5183329999999;-2,619444;1,0;Safety
"Amr#USA;USA#Elkhart Goshen IN";2010;23,258499999999998;98,0;12,1;83,0;21,672;96,0;Somewhere;1,0;15486,0;41,657154959937;-85,96844591;1,0;Safety
"Eur#DEU;Germany#Emmerich";2010;29,83;98,0;12,1;83,0;33,662;93,0;Somewhere;1,0;29918,0;51,8738859999999;6,15638899999999;1,0;Safety
"Eur#FRA;France#Tarbes";2010;22,429;99,0;12,1;83,0;21,234;95,0;Somewhere;1,0;42888,0;43,2325943333332;0,0773146666666667;1,0;Safety
"Amr#USA;USA#Tampa St Petersburg Clearwater FL";2010;21,7;100,0;8,1;83,0;10,7;100,0;Somewhere;1,0;2877274,0;27,8860158660424;-82,452268345057;1,0;Safety
"Amr#USA;USA#Erie PA";2010;14,2;100,0;11,1;83,0;14,8;100,0;Somewhere;1,0;94831,0;42,1417499999999;-80,038611;1,0;Safety
"Eur#DEU;Germany#Erfurt";2010;26,842;99,0;16,837;98,0;33,076;97,0;Somewhere;1,0;202296,0;50,9816248;11,0304968;1,0;Safety
